1 completed epochs, 5500 batches	Train loss: 0.7945	Train acc: 64.9062	Test loss: 0.7832	Test acc: 66.1340
1 completed epochs, 5600 batches	Train loss: 0.7818	Train acc: 65.3750	Test loss: 0.7440	Test acc: 68.0782
1 completed epochs, 5700 batches	Train loss: 0.8008	Train acc: 64.0000	Test loss: 0.7521	Test acc: 67.7932
1 completed epochs, 5800 batches	Train loss: 0.7613	Train acc: 67.5000	Test loss: 0.7431	Test acc: 68.1392
1 completed epochs, 5900 batches	Train loss: 0.7979	Train acc: 64.0938	Test loss: 0.7429	Test acc: 68.9332
1 completed epochs, 6000 batches	Train loss: 0.7804	Train acc: 65.8125	Test loss: 0.7292	Test acc: 69.3506
1 completed epochs, 6100 batches	Train loss: 0.7712	Train acc: 66.8125	Test loss: 0.7122	Test acc: 69.7272
1 completed epochs, 6200 batches	Train loss: 0.7647	Train acc: 66.8750	Test loss: 0.7285	Test acc: 69.3506
1 completed epochs, 6300 batches	Train loss: 0.7695	Train acc: 66.1875	Test loss: 0.7140	Test acc: 69.8188
1 completed epochs, 6400 batches	Train loss: 0.7735	Train acc: 64.6250	Test loss: 0.7049	Test acc: 70.9283
1 completed epochs, 6500 batches	Train loss: 0.7827	Train acc: 65.3750	Test loss: 0.6976	Test acc: 71.0708
1 completed epochs, 6600 batches	Train loss: 0.7602	Train acc: 66.8750	Test loss: 0.7313	Test acc: 69.0961
1 completed epochs, 6700 batches	Train loss: 0.7538	Train acc: 67.7812	Test loss: 0.7562	Test acc: 68.1596
1 completed epochs, 6800 batches	Train loss: 0.7591	Train acc: 67.6875	Test loss: 0.6949	Test acc: 70.7146
1 completed epochs, 6900 batches	Train loss: 0.7345	Train acc: 68.6562	Test loss: 0.7023	Test acc: 70.5822
1 completed epochs, 7000 batches	Train loss: 0.7631	Train acc: 66.5000	Test loss: 0.7000	Test acc: 70.9283
1 completed epochs, 7100 batches	Train loss: 0.7310	Train acc: 68.5938	Test loss: 0.6990	Test acc: 70.9792
1 completed epochs, 7200 batches	Train loss: 0.7034	Train acc: 70.4062	Test loss: 0.7048	Test acc: 70.6026
1 completed epochs, 7300 batches	Train loss: 0.7210	Train acc: 68.7188	Test loss: 0.7396	Test acc: 68.9739
1 completed epochs, 7400 batches	Train loss: 0.7313	Train acc: 67.7500	Test loss: 0.7001	Test acc: 70.9283
1 completed epochs, 7500 batches	Train loss: 0.7246	Train acc: 68.5938	Test loss: 0.6613	Test acc: 72.8929
1 completed epochs, 7600 batches	Train loss: 0.7249	Train acc: 68.7188	Test loss: 0.6610	Test acc: 72.8115
1 completed epochs, 7700 batches	Train loss: 0.7429	Train acc: 68.4062	Test loss: 0.6792	Test acc: 72.1906
1 completed epochs, 7800 batches	Train loss: 0.7235	Train acc: 68.0312	Test loss: 0.6651	Test acc: 72.5977
1 completed epochs, 7900 batches	Train loss: 0.7316	Train acc: 68.9375	Test loss: 0.7033	Test acc: 71.2032
1 completed epochs, 8000 batches	Train loss: 0.7092	Train acc: 69.9062	Test loss: 0.6579	Test acc: 72.8929
1 completed epochs, 8100 batches	Train loss: 0.7266	Train acc: 68.9062	Test loss: 0.6522	Test acc: 72.9031
1 completed epochs, 8200 batches	Train loss: 0.7192	Train acc: 68.6250	Test loss: 0.6512	Test acc: 73.2899
1 completed epochs, 8300 batches	Train loss: 0.6867	Train acc: 71.3750	Test loss: 0.6572	Test acc: 72.7606
1 completed epochs, 8400 batches	Train loss: 0.7192	Train acc: 69.9375	Test loss: 0.6405	Test acc: 73.8192
1 completed epochs, 8500 batches	Train loss: 0.7146	Train acc: 68.8438	Test loss: 0.6559	Test acc: 73.2085
1 completed epochs, 8600 batches	Train loss: 0.6867	Train acc: 71.0000	Test loss: 0.6419	Test acc: 73.4731
